Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
1	Abel, Karl Friedrich, 1723-1787	https://cmc.wp.musiclibraryassoc.org/thematic-index/abel-karl-friedrich-1723-1787/	1	<b>Knape</b>	Knape, Walter. <em>Bibliographisch-thematisches Verzeichnis der Kompositionen von Karl Friedrich Abel (1723-1787).</em> Cuxhaven, W. Knape, [1972?]	K.	Variant access points only	Numbers also available in Grove
1	Abel, Karl Friedrich, 1723-1787	https://cmc.wp.musiclibraryassoc.org/thematic-index/abel-karl-friedrich-1723-1787/	2	<b>Holman</b>	Holman, Peter and Günter von Zadow. <em>Charles Frederick Abel’s Viola da Gamba music: a new catalogue, second revised version.</em> Heidelberg: Edition Güntersberg, 2017. <a href="http://www.guentersberg.de/pdf-referate/abel-new-cat-2nd-revision.pdf">http://www.guentersberg.de/pdf-referate/abel-new-cat-2nd-revision.pdf</a>	A	Variant access points only.	<a href="http://www.guentersberg.de/pdf-referate/abel-new-cat-2nd-revision.pdf">Index available online </a> (http://www.guentersberg.de/pdf-referate/abel-new-cat-2nd-revision.pdf)<a href="https://vdgs.org.uk/journal/Vol-11.pdf"> Also available online via Viola da Gamba Society Journal, 11 (2017), 73-134  </a> (https://vdgs.org.uk/journal/Vol-11.pdf)<a href="http://vdgs.org.uk/journal/Vol-08.pdf"> Earlier version:</a> Holman, Peter. “Charles Frederick Abel’s Viola da Gamba music: a new catalogue, revised edition.” Viola da Gamba Society Journal. 8 (2014), 77-117  (http://vdgs.org.uk/journal/Vol-08.pdf)
2	Adlgasser, Anton Cajetan, 1729-1777	https://cmc.wp.musiclibraryassoc.org/thematic-index/adlgasser-anton-cajetan-1729-1777/	1	<b>DeCatanzaro</b>	De Catanzaro, Christine D., and Werner Rainer. <em>Anton Cajetan Adlgasser (1729-1777): A Thematic Catalogue of His Works.</em> Thematic Catalogues, no. 22. Hillsdale, N.Y.: Pendragon Press, 2000.	A. (n 81072978)	Authorized or variant access points.	Includes concordance to Rainer.
3	Agrell, Johan, 1701-1765	https://cmc.wp.musiclibraryassoc.org/thematic-index/agrell-johan-1701-1765/	1	<b>Sheerin</b>	Sheerin, Jeanette M.. "Thematic Index." In <em>The Symphony, 1720-1840,</em> ed. Barry S. Brook, ser. C, vol. 1. New York: Garland, 1983.	S. (n 79072701)	For symphonies only; use in authorized or variant access points.	Give the designation with no space between the colon and the numerals, e.g. S. CQ:155443; S. A:111567; thematic index on p. xxxix-xliv.
4	Albinoni, Tomaso, 1671-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/albinoni-tomaso-1671-1750/	1	<b>Giazotto1945</b>	Giazotto, Remo. <em>Tomaso Albinoni.</em> Milan: Fratelli Bocca, 1945.	G. (n 80019663)	For works without opus no.; use in authorized or variant access points.	
4	Albinoni, Tomaso, 1671-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/albinoni-tomaso-1671-1750/	2	<b>Talbot</b>	Talbot, Michael. <em>Albinoni: Leben und Werk.</em> Adliswil, Switzerland: Kunzelmann, 1980.	T, (n 80019663)	For works without opus no.; use in authorized or variant access points.	
5	Albrechtsberger, Johann Georg, 1736-1809	https://cmc.wp.musiclibraryassoc.org/thematic-index/albrechtsberger-johann-georg-1736-1809/	1	<b>Schröder</b>	Schröder, Dorothea. <em>Die geistlichen Vokalkompositionen Johann Georg Albrechtsbergers: thematischer Katalog.</em> Hamburg: K.D. Wagner, 1987.	S.	For sacred vocal music only; use in authorized or variant access points.	
6	Bach, Carl Philipp Emanuel, 1714-1788	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-carl-philipp-emmanuel-1714-1788/	1	<b>Helm</b>	Helm, E. Eugene. <em>Thematic Catalogue of the Works of Carl Philipp Emanuel Bach.</em> New Haven: Yale University Press, 1989	H. (n 79074233)	Authorized or variant access points.	
6	Bach, Carl Philipp Emanuel, 1714-1788	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-carl-philipp-emmanuel-1714-1788/	2	<b>Wotquenne</b>	Wotquenne, Alfred. <em>Thematisches Verzeichnis der Werke von Carl Philipp Emanuel Bach.</em> Leipzig: Breitkopf & Härtel, 1905.	W.	Variant access points only.	Concordance in Helm.
7	Bach, Johann Christian, 1735-1782	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-johann-christian-1735-1782/	1	<b>Warburton</b>	Warburton, Ernest. <em>Thematic Catalogue.</em> The Collected Works of Johann Christian Bach, 1735-1782, vol. 48, pt. 1. New York: Garland, 1999.	W. (n 80008104)	Authorized or variant access points. Not used for op. 9 (Hummel), op. 15 (Welcker), op. 18 (Roullède de la Chevardière), and op. 18 (Foster).	
7	Bach, Johann Christian, 1735-1782	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-johann-christian-1735-1782/	2	<b>Terry</b>	Terry, Charles Sanford. <em>John Christian Bach.</em> 2d ed. Oxford: Oxford University Press, 1967.	T	Variant access points only.	
